,index,ID Number,Name,Fed,Sex,B-day,Period,RTNG,GMS,RAPID RTNG,RAPID GMS,BLITZ RTNG,BLITZ GMS
0,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Jun,2665.0,0.0,2541.0,0.0,2544.0,0.0
1,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-May,2665.0,0.0,2541.0,0.0,2544.0,0.0
2,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Apr,2665.0,3.0,2541.0,0.0,2544.0,0.0
3,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Mar,2664.0,0.0,2541.0,0.0,2544.0,0.0
4,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Feb,2664.0,3.0,2541.0,0.0,2544.0,0.0
5,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Jan,2668.0,0.0,2541.0,0.0,2544.0,0.0
6,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Dec,2668.0,0.0,2541.0,0.0,2544.0,0.0
7,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Nov,2668.0,7.0,2541.0,0.0,2544.0,0.0
8,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Oct,2664.0,0.0,2541.0,0.0,2544.0,0.0
9,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Sep,2664.0,0.0,2541.0,0.0,2544.0,0.0
10,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Aug,2664.0,0.0,2541.0,0.0,2544.0,0.0
11,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jul,2664.0,0.0,2541.0,0.0,2544.0,0.0
12,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jun,2664.0,0.0,2541.0,0.0,2544.0,0.0
13,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-May,2664.0,0.0,2541.0,0.0,2544.0,0.0
14,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Apr,2664.0,0.0,2541.0,0.0,2544.0,0.0
15,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Mar,2664.0,13.0,2541.0,0.0,2544.0,0.0
16,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Feb,2670.0,4.0,2541.0,0.0,2544.0,0.0
17,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jan,2668.0,2.0,2541.0,0.0,2544.0,0.0
18,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Dec,2663.0,9.0,2541.0,7.0,2544.0,0.0
19,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Nov,2655.0,22.0,2531.0,6.0,2544.0,2.0
