,index,ID Number,Name,Fed,Sex,B-day,Period,RTNG,GMS,RAPID RTNG,RAPID GMS,BLITZ RTNG,BLITZ GMS
0,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Jun,2665,0,2541,0,2544,0
1,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-May,2665,0,2541,0,2544,0
2,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Apr,2665,3,2541,0,2544,0
3,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Mar,2664,0,2541,0,2544,0
4,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Feb,2664,3,2541,0,2544,0
5,1923,13402960,"Abasov, Nijat",AZE,M,1995,2021-Jan,2668,0,2541,0,2544,0
6,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Dec,2668,0,2541,0,2544,0
7,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Nov,2668,7,2541,0,2544,0
8,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Oct,2664,0,2541,0,2544,0
9,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Sep,2664,0,2541,0,2544,0
10,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Aug,2664,0,2541,0,2544,0
11,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jul,2664,0,2541,0,2544,0
12,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jun,2664,0,2541,0,2544,0
13,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-May,2664,0,2541,0,2544,0
14,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Apr,2664,0,2541,0,2544,0
15,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Mar,2664,13,2541,0,2544,0
16,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Feb,2670,4,2541,0,2544,0
17,1923,13402960,"Abasov, Nijat",AZE,M,1995,2020-Jan,2668,2,2541,0,2544,0
18,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Dec,2663,9,2541,7,2544,0
19,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Nov,2655,22,2531,6,2544,2
20,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Oct,2632,0,2535,0,2534,0
21,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Sep,2632,9,2535,0,2534,0
22,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Aug,2640,13,2535,0,2534,0
23,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Jul,2641,0,2535,0,2534,0
24,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Jun,2641,8,2535,0,2534,18
25,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-May,2636,3,2535,0,2487,0
26,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Apr,2633,8,2535,0,2487,0
27,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Mar,2627,2,2535,0,2487,0
28,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Feb,2630,5,2535,0,2487,18
29,1923,13402960,"Abasov, Nijat",AZE,M,1995,2019-Jan,2624,11,2535,0,2473,0
30,1923,13402960,"Abasov, Nijat",AZE,M,1995,2018-Dec,2635,4,2535,0,2473,0
